amostra_id,atividade_id,troco_id,zona_ordem,valor,variavel,limite_inferior,limite_superior,razao
21574110161_19_Z1,21574110161,19,1,831.2807881773424,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21574110161_20_Z1,21574110161,20,1,887.8504672897183,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21604546980_33_Z2,21604546980,33,2,779.8440311937685,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21604546980_39_Z1,21604546980,39,1,808.5106382978723,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21604546980_40_Z1,21604546980,40,1,721.6308858019115,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21604546980_41_Z1,21604546980,41,1,847.6246796767196,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21604546980_42_Z1,21604546980,42,1,841.9689119170955,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21604546980_43_Z1,21604546980,43,1,829.4753086419803,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21604546980_45_Z2,21604546980,45,2,807.7226162332511,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21604546980_47_Z2,21604546980,47,2,752.984389348022,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21604546980_48_Z2,21604546980,48,2,792.6306769494458,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21604546980_49_Z2,21604546980,49,2,968.9922480620062,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21682806144_53_Z3,21682806144,53,3,725.7748136524125,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21682806144_54_Z2,21682806144,54,2,748.663101604278,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21682806144_57_Z2,21682806144,57,2,734.024179620032,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21682806144_71_Z3,21682806144,71,3,806.2848873268573,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21682806144_73_Z2,21682806144,73,2,752.1773555027714,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21682806144_74_Z2,21682806144,74,2,729.9270072992753,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21682806144_79_Z3,21682806144,79,3,745.5731593662615,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21682806144_80_Z3,21682806144,80,3,775.4943776657561,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21682806144_86_Z2,21682806144,86,2,731.4725697786231,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21682806144_88_Z2,21682806144,88,2,729.9270072992622,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
