janela_s,cobertura_s,amostras_min,n_atividades,n_amostras,intervalos_validos_pct,mae_macro_s_km,rmse_macro_s_km,r2_macro
60.0,45.0,6,25,4039,86.65545061751997,62.21371605957913,78.51321569940431,-1.2649883013296477
40.0,30.0,4,25,4189,90.3363540192967,62.92459771345543,79.87775854679583,-1.1807294525909124
30.0,20.0,3,25,4266,91.99199581947259,63.70191872593118,80.9291068456284,-1.2593259102243668
