tipo_zona,modelo,mae_macro_s_km,rmse_macro_s_km,r2_macro,tempo_treino_medio_s,n_atividades,melhoria_vs_dummy_pct
Frequência cardíaca,GradientBoosting,55.927074577704055,73.17143297871438,-1.1752928140122805,0.43840385517892977,17,36.13358709735923
Frequência cardíaca,RandomForest,57.95699784422432,75.56650570457919,-1.4338992231915602,0.30483833741506233,17,33.815498434950555
Frequência cardíaca,HistGradientBoosting,59.68888891903534,77.82605851538263,-1.3956557640954907,20.428232385759816,17,31.837750245518617
Frequência cardíaca,Ridge,63.20439407231264,80.8877865556048,-4.384497776166029,0.0032084780618521,17,27.823188329382248
Frequência cardíaca,RedeNeuronal_MLP,65.4783996133296,83.10296837021592,-1.8648785774956969,4.965550940300625,17,25.226367774720508
Frequência cardíaca,SVR_RBF,78.14655021294064,98.43066218168914,-9.099176201927106,0.13770389947047293,17,10.759862186564115
Frequência cardíaca,Dummy,87.56883631927224,106.09683090218597,-16.03197185527983,0.0007451029395109371,17,0.0
Potência,RandomForest,53.255892528154796,73.05534067003914,-2.2119886990434297,0.3171747498871649,17,39.18396684639489
Potência,GradientBoosting,56.705822176514715,73.60482189990461,-2.2036802134975932,0.441786747526802,17,35.24428945273669
Potência,RedeNeuronal_MLP,60.58963106820159,80.66198664307981,-2.492620286376313,5.220663885592812,17,30.809139855079966
Potência,HistGradientBoosting,71.0578193838142,88.84832084291527,-2.5757441953768976,29.257955577592572,17,18.854900475392373
Potência,Ridge,78.17265895863872,94.02703407913597,-10.448675324799103,0.0026075513554079566,17,10.730047075623403
Potência,SVR_RBF,83.86398635049848,103.1299075307629,-11.125872386044684,0.14122659188304917,17,4.230785887420078
Potência,Dummy,87.56883631927224,106.09683090218597,-16.03197185527983,0.0006837901190224596,17,0.0
