tipo_zona,pearson_valor_ritmo,spearman_valor_ritmo,spearman_zona_ritmo,n_trocos,n_atividades
Frequência cardíaca,-0.2164118037533352,-0.4201867398196332,-0.4305416447696399,2972,17
Potência,-0.528090633008465,-0.5689148848490418,-0.10762517064726668,2972,17
