troco_id,distancia_inicio_m,distancia_fim_m,comprimento_troco_m,altitude_inicio_m,altitude_fim_m,altitude_media_m,altitude_normalizada,declive_pct,distancia_inicio_km,subida_acumulada_m,zona_ordem,zona_limite_inferior_bpm,zona_limite_superior_bpm,zona_aberta,ritmo_previsto_s_km,previsao_valida,pouco_suporte,n_amostras_suporte,n_atividades_suporte,ritmo_previsto_mmss_km,tempo_troco_previsto_s
0,0.0,50.0,50.0,279.51320754716977,280.69875559294815,280.2090418227329,0.2802090418227329,2.371096091556751,0.0,1.1855480457783756,1,103,124,0,457.6689750573254,True,False,10,7,07:38/km,22.88344875286627
1,50.0,100.0,50.0,280.69875559294815,280.0,280.34127296136245,0.28034127296136246,-1.3975111858962919,0.05,1.1855480457783756,1,103,124,0,444.79062922090225,True,False,12,8,07:25/km,22.239531461045114
2,100.0,150.0,50.0,280.0,279.56000000000006,279.7533333333333,0.2797533333333333,-0.8799999999998818,0.1,1.1855480457783756,1,103,124,0,444.79062922090225,True,False,10,7,07:25/km,22.239531461045114
3,150.0,200.0,50.0,279.56000000000006,278.8,279.25333333333333,0.27925333333333335,-1.5200000000000955,0.15,1.1855480457783756,1,103,124,0,444.79062922090225,True,False,13,8,07:25/km,22.239531461045114
4,200.0,250.0,50.0,278.8,277.82019834710746,278.2726997245179,0.2782726997245179,-1.9596033057850946,0.2,1.1855480457783756,1,103,124,0,444.79062922090225,True,False,11,6,07:25/km,22.239531461045114
5,250.0,300.0,50.0,277.82019834710746,277.4131274131274,277.5896865247775,0.2775896865247775,-0.8141418679600747,0.25,1.1855480457783756,1,103,124,0,444.79062922090225,True,False,10,7,07:25/km,22.239531461045114
6,300.0,350.0,50.0,277.4131274131274,276.8948972224269,277.215191088827,0.277215191088827,-1.0364603814010707,0.3,1.1855480457783756,1,103,124,0,444.79062922090225,True,False,9,6,07:25/km,22.239531461045114
7,350.0,400.0,50.0,276.8948972224269,275.66014184397164,276.2507402071871,0.2762507402071871,-2.469510756910495,0.35,1.1855480457783756,1,103,124,0,444.79062922090225,True,False,10,6,07:25/km,22.239531461045114
8,400.0,450.0,50.0,275.66014184397164,274.4448093656067,275.10436358148735,0.2751043635814873,-2.4306649567298564,0.4,1.1855480457783756,1,103,124,0,444.79062922090225,True,False,10,6,07:25/km,22.239531461045114
9,450.0,500.0,50.0,274.4448093656067,273.0623216574282,273.6172159494311,0.2736172159494311,-2.7649754163570606,0.45,1.1855480457783756,1,103,124,0,444.79062922090225,True,False,10,7,07:25/km,22.239531461045114
10,500.0,550.0,50.0,273.0623216574282,274.1552000415266,273.6204074265502,0.2736204074265502,2.185756768196825,0.5,2.278426429876788,1,103,124,0,455.0622842634801,True,False,10,7,07:35/km,22.753114213174005
11,550.0,600.0,50.0,274.1552000415266,272.63671936339523,273.53466901883223,0.2735346690188322,-3.0369613562627364,0.55,2.278426429876788,1,103,124,0,444.79062922090225,True,False,10,7,07:25/km,22.239531461045114
12,600.0,650.0,50.0,272.63671936339523,270.6532351858668,271.7019411809002,0.2717019411809002,-3.966968355056906,0.6,2.278426429876788,1,103,124,0,444.79062922090225,True,False,14,5,07:25/km,22.239531461045114
13,650.0,700.0,50.0,270.6532351858668,268.7387692307692,269.5497870199976,0.2695497870199976,-3.828931910195138,0.65,2.278426429876788,1,103,124,0,444.79062922090225,True,False,14,5,07:25/km,22.239531461045114
14,700.0,750.0,50.0,268.7387692307692,268.76186440677964,268.73062755323775,0.26873062755323773,0.04619035202085797,0.7,2.301521605887217,1,103,124,0,444.79062922090225,True,False,11,7,07:25/km,22.239531461045114
15,750.0,800.0,50.0,268.76186440677964,268.79115942028983,268.7399209858348,0.26873992098583477,0.058590027020386515,0.75,2.3308166193974102,1,103,124,0,444.79062922090225,True,False,11,7,07:25/km,22.239531461045114
16,800.0,850.0,50.0,268.79115942028983,268.62350989412187,268.800214582705,0.268800214582705,-0.3352990523359267,0.8,2.3308166193974102,1,103,124,0,444.79062922090225,True,False,12,7,07:25/km,22.239531461045114
17,850.0,900.0,50.0,268.62350989412187,266.7224894256916,267.7673802864545,0.2677673802864545,-3.8020409368605215,0.85,2.3308166193974102,1,103,124,0,444.79062922090225,True,False,14,5,07:25/km,22.239531461045114
18,900.0,950.0,50.0,266.7224894256916,263.93837072215376,265.36460369983575,0.2653646036998358,-5.568237407075685,0.9,2.3308166193974102,1,103,124,0,445.621135209899,True,False,12,4,07:26/km,22.281056760494952
19,950.0,1000.0,50.0,263.93837072215376,260.8917087881512,262.42871696047916,0.26242871696047915,-6.093323868005086,0.95,2.3308166193974102,1,103,124,0,441.5777008966833,True,False,12,5,07:22/km,22.078885044834166
20,1000.0,1050.0,50.0,260.8917087881512,257.73974188708615,259.3136735217907,0.2593136735217907,-6.303933802130132,1.0,2.3308166193974102,1,103,124,0,441.5777008966833,True,False,13,5,07:22/km,22.078885044834166
21,1050.0,1100.0,50.0,257.73974188708615,254.55537852358717,256.1379989769628,0.2561379989769628,-6.368726726997977,1.05,2.3308166193974102,1,103,124,0,441.5777008966833,True,False,12,5,07:22/km,22.078885044834166
22,1100.0,1150.0,50.0,254.55537852358717,252.1565087815517,253.28916739032266,0.25328916739032264,-4.797739484070917,1.1,2.3308166193974102,1,103,124,0,440.74719490768655,True,False,16,5,07:21/km,22.03735974538433
23,1150.0,1200.0,50.0,252.1565087815517,250.99321637426902,251.42549281906528,0.2514254928190653,-2.326584814565365,1.15,2.3308166193974102,1,103,124,0,440.74719490768655,True,False,10,6,07:21/km,22.03735974538433
24,1200.0,1250.0,50.0,250.99321637426902,249.75774806053056,250.66200857374497,0.250662008573745,-2.470936627476931,1.2,2.3308166193974102,1,103,124,0,440.74719490768655,True,False,10,6,07:21/km,22.03735974538433
25,1250.0,1300.0,50.0,249.75774806053056,246.01916666666665,247.74391443805266,0.24774391443805266,-7.477162787727821,1.25,2.3308166193974102,1,103,124,0,445.2119047026893,True,False,10,5,07:25/km,22.260595235134463
26,1300.0,1350.0,50.0,246.01916666666665,244.34464944229086,245.18098542799996,0.24518098542799996,-3.3490344487515813,1.3,2.3308166193974102,1,103,124,0,440.74719490768655,True,False,11,6,07:21/km,22.03735974538433
27,1350.0,1400.0,50.0,244.34464944229086,242.22262393520458,243.28151818968539,0.24328151818968538,-4.244051014172555,1.35,2.3308166193974102,1,103,124,0,440.74719490768655,True,False,17,5,07:21/km,22.03735974538433
