,zona_ordem,zona_limite_inferior_bpm,zona_limite_superior_bpm,zona_aberta,declive_pct,altitude_normalizada,distancia_inicio_km,subida_acumulada_m,comprimento_troco_m,ritmo_alvo_s_km
zona_ordem,1.0,0.999930013431606,0.9999304192018492,,0.1259570413896761,0.17023102665039336,0.33578865141079106,0.3618571057805366,-0.005073048805114745,-0.15923499387169113
zona_limite_inferior_bpm,0.999930013431606,1.0,0.9997208755962431,,0.12566882535315657,0.17137176359880602,0.3353002090396346,0.3626646015750495,-0.0047753097821249,-0.15985773208803444
zona_limite_superior_bpm,0.9999304192018492,0.9997208755962431,1.0,,0.12622686682544504,0.16906987718365352,0.3362288789054099,0.36100152424527543,-0.0053692164819978405,-0.1585918718253796
zona_aberta,,,,,,,,,,
declive_pct,0.1259570413896761,0.12566882535315657,0.12622686682544504,,1.0,-0.018323597128530725,-0.09941332967491298,-0.10053289295058221,-0.0068485954049564216,0.3493133779663426
altitude_normalizada,0.17023102665039336,0.17137176359880602,0.16906987718365352,,-0.018323597128530725,1.0,0.1765505057089169,0.6131283702193913,0.01394105612523047,0.1973493879074484
distancia_inicio_km,0.33578865141079106,0.3353002090396346,0.3362288789054099,,-0.09941332967491298,0.1765505057089169,1.0,0.7176823493374423,-0.05821106971284828,0.030832442787949783
subida_acumulada_m,0.3618571057805366,0.3626646015750495,0.36100152424527543,,-0.10053289295058221,0.6131283702193913,0.7176823493374423,1.0,-0.01541179133666551,0.1700726143536303
comprimento_troco_m,-0.005073048805114745,-0.0047753097821249,-0.0053692164819978405,,-0.0068485954049564216,0.01394105612523047,-0.05821106971284828,-0.01541179133666551,1.0,-0.0274690471724745
ritmo_alvo_s_km,-0.15923499387169113,-0.15985773208803444,-0.1585918718253796,,0.3493133779663426,0.1973493879074484,0.030832442787949783,0.1700726143536303,-0.0274690471724745,1.0
