atividade_id,timestamp,distancia_m,altitude_m,fc_bpm,velocidade_fit_m_s
21568213058,2026-01-16 17:39:34+00:00,836.88,75.0,126,2.137
21568213058,2026-01-16 17:39:39+00:00,848.24,76.60000000000002,129,2.146
21568213058,2026-01-16 17:39:40+00:00,850.68,76.79999999999995,126,2.146
21568213058,2026-01-16 17:39:42+00:00,855.96,77.20000000000005,126,2.174
21568213058,2026-01-16 17:39:49+00:00,872.22,77.60000000000002,127,2.267
21568213058,2026-01-16 17:39:58+00:00,893.85,76.39999999999998,124,2.323
21568213058,2026-01-16 17:40:04+00:00,908.57,75.39999999999998,127,2.342
21568213058,2026-01-16 17:40:07+00:00,915.91,75.20000000000005,131,2.361
21568213058,2026-01-16 17:40:08+00:00,918.16,75.20000000000005,128,2.37
21568213058,2026-01-16 17:40:09+00:00,920.48,75.39999999999998,128,2.379
21568213058,2026-01-16 17:40:15+00:00,934.19,75.39999999999998,124,2.37
21568213058,2026-01-16 17:40:19+00:00,943.64,75.20000000000005,126,2.37
21568213058,2026-01-16 17:40:26+00:00,958.6,75.39999999999998,126,2.351
21568213058,2026-01-16 17:40:35+00:00,980.97,76.20000000000005,129,2.342
21568213058,2026-01-16 17:40:43+00:00,1001.35,77.0,130,2.37
21568213058,2026-01-16 17:40:51+00:00,1020.83,78.0,129,2.389
21568213058,2026-01-16 17:40:59+00:00,1039.48,78.39999999999998,131,2.398
21568213058,2026-01-16 17:41:06+00:00,1056.39,78.39999999999998,131,2.379
21568213058,2026-01-16 17:41:12+00:00,1072.49,77.60000000000002,130,2.389
21568213058,2026-01-16 17:41:20+00:00,1091.55,76.60000000000002,130,2.435
21568213058,2026-01-16 17:41:28+00:00,1108.7,76.39999999999998,127,2.398
21568213058,2026-01-16 17:41:30+00:00,1112.83,76.20000000000005,126,2.37
21568213058,2026-01-16 17:41:37+00:00,1127.83,75.0,126,2.323
21568213058,2026-01-16 17:41:43+00:00,1133.38,73.0,125,2.127
21568213058,2026-01-16 17:41:53+00:00,1139.4,71.39999999999998,123,0.0
21568213058,2026-01-16 17:41:58+00:00,1150.64,72.39999999999998,127,0.0
21568213058,2026-01-16 17:41:59+00:00,1153.1,72.79999999999995,127,4.022
21568213058,2026-01-16 17:42:02+00:00,1160.38,73.79999999999995,131,2.295
21568213058,2026-01-16 17:42:09+00:00,1177.95,74.20000000000005,131,2.417
21568213058,2026-01-16 17:42:18+00:00,1198.51,75.0,130,2.398
21568213058,2026-01-16 17:42:27+00:00,1217.0,79.20000000000005,134,2.286
21568213058,2026-01-16 17:42:34+00:00,1234.64,82.0,132,2.249
21568213058,2026-01-16 17:42:41+00:00,1252.43,83.0,134,2.267
21568213058,2026-01-16 17:42:42+00:00,1254.92,83.20000000000005,134,2.267
21568213058,2026-01-16 17:42:48+00:00,1270.01,83.39999999999998,134,2.305
21568213058,2026-01-16 17:42:54+00:00,1282.87,83.39999999999998,133,2.314
21568213058,2026-01-16 17:42:57+00:00,1289.49,83.60000000000002,130,2.305
21568213058,2026-01-16 17:43:02+00:00,1299.82,83.20000000000005,131,2.267
21568213058,2026-01-16 17:43:11+00:00,1320.74,80.20000000000005,128,2.249
21568213058,2026-01-16 17:43:14+00:00,1328.09,78.79999999999995,131,2.258
21568213058,2026-01-16 17:43:21+00:00,1341.82,77.39999999999998,130,2.286
21568213058,2026-01-16 17:43:25+00:00,1343.6,77.20000000000005,130,1.316
21568213058,2026-01-16 17:43:30+00:00,1348.52,76.79999999999995,129,0.0
21568213058,2026-01-16 17:43:33+00:00,1356.32,76.20000000000005,126,0.0
21568213058,2026-01-16 17:43:35+00:00,1362.37,75.79999999999995,126,0.224
21568213058,2026-01-16 17:43:38+00:00,1370.26,75.39999999999998,123,2.445
21568213058,2026-01-16 17:43:41+00:00,1377.11,75.0,121,2.491
21568213058,2026-01-16 17:43:42+00:00,1379.21,75.0,122,2.491
21568213058,2026-01-16 17:43:44+00:00,1383.27,74.79999999999995,121,2.491
21568213058,2026-01-16 17:43:45+00:00,1385.55,74.60000000000002,120,2.473
21568213058,2026-01-16 17:43:52+00:00,1402.42,75.39999999999998,120,2.417
21568213058,2026-01-16 17:44:00+00:00,1421.98,78.39999999999998,117,2.426
21568213058,2026-01-16 17:44:01+00:00,1424.39,78.79999999999995,117,2.426
21568213058,2026-01-16 17:44:09+00:00,1440.17,80.20000000000005,120,2.314
21568213058,2026-01-16 17:44:19+00:00,1460.32,81.39999999999998,120,2.155
21568213058,2026-01-16 17:44:21+00:00,1464.78,81.60000000000002,123,2.137
21568213058,2026-01-16 17:44:23+00:00,1469.14,81.60000000000002,119,2.137
21568213058,2026-01-16 17:44:24+00:00,1471.22,81.60000000000002,121,2.146
